image_path,num_hands_detected,max_confidence,flagged
data/raw_healthy_sources\healthy_0143.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0144.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0145.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0146.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0147.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0148.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0149.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0150.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0151.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0152.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0153.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0154.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0155.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0156.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0157.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0158.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0159.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0160.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0161.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0162.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0163.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0164.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0165.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0166.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0167.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0168.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0169.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0170.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0171.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0172.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0173.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0174.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0175.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0176.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0177.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0178.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0179.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0180.jpg,0,0.000,False
